id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a092;35;1;4;4;7.6;5.8;6.05;61;65;76;96;86;65;40.0815;40.86;37.7322;32.1937;40.1255;40.4707;34.963;40.2981;40.1103;35.1508;37.6305;5.2;4.66667;4.93333
a093;28;1;5.7;3.7;8.7;5;7.45;87;85;96;80;90;85;37.5515;32.7511;30.256;40.95;35.3393;35.1513;35.603;35.2453;36.5019;34.3464;35.4242;4.1;5.6;4.85
a094;40;1;2.4;5.2;9.2;7.3;9.45;104;95;118;107;88;102;39.6785;48.6111;44.2791;43.6613;48.015;44.1448;43.9702;46.0799;42.6203;47.4298;45.0251;5;5;5
a095;22;1;6.5;4.1;10.3;4.7;8.65;92;89;93;84;88;86;46.296;37.5033;41.8937;39.185;35.2188;41.8997;40.5393;38.5592;43.6015;35.4971;39.5493;5.6;4.3;4.95
a096;44;1;6.3;3.4;8.3;7.1;8.65;74;82;104;88;81;81;52.415;40.8644;41.8929;46.8803;44.4242;46.6397;44.3866;45.5319;48.5987;41.3199;44.9593;5.5;5.3;5.4
a097;38;1;7.7;1.4;7.2;6.9;8.25;79;82;88;77;71;74;;;44.909;47.3157;49.335;;46.1123;49.335;49.5817;44.7914;47.1865;3.7;4.5;4.1
a098;24;1;9.4;5.6;5.8;7.8;7.45;99;91;101;93;90;92;46.255;24.7089;36.8372;39.207;44.9678;35.4819;38.0221;40.2249;40.012;38.235;39.1235;4.3;3.3;3.8
a099;43;1;6.2;4.4;4.7;7.9;8.95;109;105;118;107;83;103;42.556;34.1156;49.7869;44.5773;46.0102;38.3358;47.1821;42.173;45.667;43.6881;44.6775;5.44444;4.7;5.07222
a100;26;1;7;6.4;7.9;6.9;6.95;60;105;82;110;106;86;38.8735;38.4667;34.035;26.75;35.8176;38.6701;30.3925;37.2438;32.6328;35.0036;33.8182;4.7;3.11111;3.90556
a101;32;1;5.8;4.7;7.3;6.8;8.05;109;89;141;116;90;107;46.645;45.3667;39.0855;40.3337;42.5774;46.0058;39.7096;44.2916;42.3853;41.6159;42.0006;5.6;5.6;5.6
